Animal ID,Found Location,At AAC,Intake Date,Type,Looks Like,Color,Sex,Age,Image Link
A898827,"2011 W RUNDBERG LN
AUSTIN 78758
(30.373526006, -97.720049032)",Yes (come to the shelter),03/05/2024,Dog,Labrador Retriever Mix,Black/White,Intact Male,5 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A898827
A899587,"1705 FRONTIER VALLEY DRIVE
AUSTIN 78741
(30.224683983, -97.694595036)",Yes (come to the shelter),03/06/2024,Dog,Boxer/Pit Bull,Tan/Black,Intact Female,6 weeks,http://www.petharbor.com/pet.asp?uaid=ASTN.A899587
A899437,"4475 BRANDT RD
AUSTIN 78744
(30.159396653, -97.771890928)",Yes (come to the shelter),03/04/2024,Dog,Chihuahua Shorthair Mix,Brown/Black,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899437
A899423,"9508 NIGHTSTAR DR78617
(30.222567008, -97.667202976)",Yes (come to the shelter),03/04/2024,Cat,Domestic Shorthair,Blue Tabby/White,Intact Male,3 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899423
A899336,"15500 SUN LIGHT NEAR WAY
PFLUGERVILLE 78660
(30.416888702, -97.595816458)",Yes (come to the shelter),03/02/2024,Dog,Dachshund,Brown,Spayed Female,8 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899336
A899498,"CADDIE STREET AUSTIN 78741
(30.2391611, -97.7301859)",Yes (come to the shelter),03/05/2024,Dog,Labrador Retriever Mix,Brown,Intact Female,2 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A899498
A899290,"117 SAN JACINTO BOULEVARD
AUSTIN 78701
(30.263331011, -97.741646011)",Yes (come to the shelter),03/01/2024,Cat,Domestic Shorthair,Orange Tabby,Unknown,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A899290
A897767,SOUTH TURNSVILLE ROAD 78610,Yes (come to the shelter),03/04/2024,Dog,Australian Cattle Dog/Bloodhound,White/Tricolor,Intact Male,6 months,http://www.petharbor.com/pet.asp?uaid=ASTN.A897767
A899619,"2613 ALCOTT
AUSTIN 78748
(30.173738985, -97.835442022)",Yes (come to the shelter),03/07/2024,Cat,Siamese,Lynx Point,Intact Male,1 year,http://www.petharbor.com/pet.asp?uaid=ASTN.A899619
A899510,"3305 WEST AVE
AUSTIN 78705
(30.301314405, -97.742845533)",No (contact for more info),03/05/2024,Cat,Domestic Longhair,Torbie/White,Intact Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899510
A899636,"AIRPORT
AUSTIN 78702
(30.281990008, -97.703610024)",No (contact for more info),03/07/2024,Dog,Rhod Ridgeback/Doberman Pinsch,Red,Spayed Female,2 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899636
A899410,"9300 BLOCK
AUSTIN 78724
(30.2882753, -97.63515)",Yes (come to the shelter),03/04/2024,Dog,Siberian Husky,Gray/White,Intact Female,4 years,http://www.petharbor.com/pet.asp?uaid=ASTN.A899410
